emoji,position,negativo,neutro,positivo,score,unicode_name,unicode_block,unicode
💶,0.748,0.160,0.680,0.160,0.000,BANKNOTE WITH EURO SIGN,Miscellaneous Symbols and Pictographs,b'\\U0001f4b6'
❔,0.787,0.333,0.333,0.333,0.000,WHITE QUESTION MARK ORNAMENT,Dingbats,b'\\u2754'
╱,0.548,0.059,0.882,0.059,0.000,BOX DRAWINGS LIGHT DIAGONAL UPPER RIGHT TO LOWER LEFT,Box Drawing,b'\\u2571'
☎,0.837,0.176,0.647,0.176,0.000,BLACK TELEPHONE,Miscellaneous Symbols,b'\\u260e'
✳,0.372,0.071,0.857,0.071,0.000,EIGHT SPOKED ASTERISK,Dingbats,b'\\u2733'
❊,0.452,0.053,0.895,0.053,0.000,EIGHT TEARDROP-SPOKED PROPELLER ASTERISK,Dingbats,b'\\u274a'
۩,0.464,0.067,0.867,0.067,0.000,ARABIC PLACE OF SAJDAH,Arabic,b'\\u06e9'
🍠,0.939,0.400,0.200,0.400,0.000,ROASTED SWEET POTATO,Miscellaneous Symbols and Pictographs,b'\\U0001f360'
🎭,0.658,0.333,0.333,0.333,0.000,PERFORMING ARTS,Miscellaneous Symbols and Pictographs,b'\\U0001f3ad'
✯,0.321,0.083,0.833,0.083,0.000,PINWHEEL STAR,Dingbats,b'\\u272f'
▁,0.711,0.056,0.889,0.056,0.000,LOWER ONE EIGHTH BLOCK,Block Elements,b'\\u2581'
▂,0.579,0.067,0.867,0.067,0.000,LOWER ONE QUARTER BLOCK,Block Elements,b'\\u2582'
╣,0.642,0.083,0.833,0.083,0.000,BOX DRAWINGS DOUBLE VERTICAL AND LEFT,Box Drawing,b'\\u2563'
🚕,0.526,0.235,0.529,0.235,0.000,TAXI,Transport and Map Symbols,b'\\U0001f695'
⇩,0.504,0.063,0.875,0.063,0.000,DOWNWARDS WHITE ARROW,Arrows,b'\\u21e9'
✩,0.266,0.083,0.833,0.083,0.000,STRESS OUTLINED WHITE STAR,Dingbats,b'\\u2729'
☐,0.538,0.778,0.111,0.111,-0.667,BALLOT BOX,Miscellaneous Symbols,b'\\u2610'
🍥,0.580,0.719,0.156,0.125,-0.594,FISH CAKE WITH SWIRL DESIGN,Miscellaneous Symbols and Pictographs,b'\\U0001f365'
┈,0.793,0.765,0.059,0.176,-0.588,BOX DRAWINGS LIGHT QUADRUPLE DASH HORIZONTAL,Box Drawing,b'\\u2508'
👿,0.911,0.658,0.219,0.123,-0.534,IMP,Miscellaneous Symbols and Pictographs,b'\\U0001f47f'
☹,0.777,0.652,0.217,0.130,-0.522,WHITE FROWNING FACE,Miscellaneous Symbols,b'\\u2639'
🔋,0.583,0.622,0.243,0.135,-0.486,BATTERY,Miscellaneous Symbols and Pictographs,b'\\U0001f50b'
￼,0.309,0.536,0.405,0.060,-0.476,OBJECT REPLACEMENT CHARACTER,Specials,b'\\ufffc'
✂,0.810,0.574,0.311,0.115,-0.459,BLACK SCISSORS,Dingbats,b'\\u2702'
🚫,0.703,0.538,0.363,0.099,-0.440,NO ENTRY SIGN,Transport and Map Symbols,b'\\U0001f6ab'
📌,0.799,0.600,0.200,0.200,-0.400,PUSHPIN,Miscellaneous Symbols and Pictographs,b'\\U0001f4cc'
😕,0.857,0.601,0.195,0.204,-0.397,CONFUSED FACE,Emoticons,b'\\U0001f615'
😐,0.883,0.553,0.282,0.165,-0.388,NEUTRAL FACE,Emoticons,b'\\U0001f610'
🔧,0.677,0.625,0.125,0.250,-0.375,WRENCH,Miscellaneous Symbols and Pictographs,b'\\U0001f527'
😒,0.858,0.591,0.192,0.217,-0.374,UNAMUSED FACE,Emoticons,b'\\U0001f612'
😿,0.812,0.577,0.219,0.204,-0.372,CRYING CAT FACE,Emoticons,b'\\U0001f63f'
😦,0.882,0.544,0.281,0.175,-0.368,FROWNING FACE WITH OPEN MOUTH,Emoticons,b'\\U0001f626'
😩,0.826,0.591,0.186,0.223,-0.368,WEARY FACE,Emoticons,b'\\U0001f629'
┻,0.436,0.636,0.091,0.273,-0.364,BOX DRAWINGS HEAVY UP AND HORIZONTAL,Box Drawing,b'\\u253b'
┳,0.399,0.478,0.391,0.130,-0.348,BOX DRAWINGS HEAVY DOWN AND HORIZONTAL,Box Drawing,b'\\u2533'
👮,0.742,0.478,0.391,0.130,-0.348,POLICE OFFICER,Miscellaneous Symbols and Pictographs,b'\\U0001f46e'
🍈,0.521,0.583,0.167,0.250,-0.333,MELON,Miscellaneous Symbols and Pictographs,b'\\U0001f348'
😾,0.915,0.583,0.167,0.250,-0.333,POUTING CAT FACE,Emoticons,b'\\U0001f63e'
🙍,0.845,0.577,0.173,0.250,-0.327,PERSON FROWNING,Emoticons,b'\\U0001f64d'
🍱,0.580,0.542,0.229,0.229,-0.313,BENTO BOX,Miscellaneous Symbols and Pictographs,b'\\U0001f371'
😑,0.844,0.513,0.285,0.202,-0.311,EXPRESSIONLESS FACE,Emoticons,b'\\U0001f611'
😠,0.849,0.564,0.172,0.265,-0.299,ANGRY FACE,Emoticons,b'\\U0001f620'
🐁,0.419,0.375,0.500,0.125,-0.250,MOUSE,Miscellaneous Symbols and Pictographs,b'\\U0001f401'
▌,0.421,0.417,0.417,0.167,-0.250,LEFT HALF BLOCK,Block Elements,b'\\u258c'
■,0.790,0.500,0.250,0.250,-0.250,BLACK SQUARE,Geometric Shapes,b'\\u25a0'
🍣,0.670,0.446,0.339,0.214,-0.232,SUSHI,Miscellaneous Symbols and Pictographs,b'\\U0001f363'
🏫,0.644,0.538,0.154,0.308,-0.231,SCHOOL,Miscellaneous Symbols and Pictographs,b'\\U0001f3eb'
□,0.674,0.571,0.071,0.357,-0.214,WHITE SQUARE,Geometric Shapes,b'\\u25a1'
😣,0.903,0.540,0.131,0.328,-0.212,PERSEVERING FACE,Emoticons,b'\\U0001f623'
😤,0.884,0.479,0.252,0.270,-0.209,FACE WITH LOOK OF TRIUMPH,Emoticons,b'\\U0001f624'
💀,0.739,0.468,0.270,0.261,-0.207,SKULL,Miscellaneous Symbols and Pictographs,b'\\U0001f480'
🙅,0.839,0.458,0.286,0.256,-0.202,FACE WITH NO GOOD GESTURE,Emoticons,b'\\U0001f645'
🚩,0.147,0.400,0.400,0.200,-0.200,TRIANGULAR FLAG ON POST,Transport and Map Symbols,b'\\U0001f6a9'
🔫,0.894,0.493,0.209,0.298,-0.194,PISTOL,Miscellaneous Symbols and Pictographs,b'\\U0001f52b'
👎,0.914,0.494,0.199,0.307,-0.188,THUMBS DOWN SIGN,Miscellaneous Symbols and Pictographs,b'\\U0001f44e'
💴,0.837,0.364,0.455,0.182,-0.182,BANKNOTE WITH YEN SIGN,Miscellaneous Symbols and Pictographs,b'\\U0001f4b4'
🚛,0.552,0.273,0.636,0.091,-0.182,ARTICULATED LORRY,Transport and Map Symbols,b'\\U0001f69b'
👺,0.825,0.409,0.364,0.227,-0.182,JAPANESE GOBLIN,Miscellaneous Symbols and Pictographs,b'\\U0001f47a'
😡,0.862,0.532,0.108,0.360,-0.173,POUTING FACE,Emoticons,b'\\U0001f621'
😷,0.840,0.474,0.221,0.305,-0.169,FACE WITH MEDICAL MASK,Emoticons,b'\\U0001f637'
🐑,0.922,0.292,0.583,0.125,-0.167,SHEEP,Miscellaneous Symbols and Pictographs,b'\\U0001f411'
💧,0.768,0.477,0.205,0.318,-0.159,DROPLET,Miscellaneous Symbols and Pictographs,b'\\U0001f4a7'
😖,0.869,0.483,0.188,0.328,-0.155,CONFOUNDED FACE,Emoticons,b'\\U0001f616'
💂,0.691,0.450,0.250,0.300,-0.150,GUARDSMAN,Miscellaneous Symbols and Pictographs,b'\\U0001f482'
😔,0.866,0.464,0.219,0.318,-0.146,PENSIVE FACE,Emoticons,b'\\U0001f614'
😫,0.840,0.485,0.174,0.340,-0.145,TIRED FACE,Emoticons,b'\\U0001f62b'
🚶,0.797,0.377,0.390,0.234,-0.143,PEDESTRIAN,Transport and Map Symbols,b'\\U0001f6b6'
▀,0.250,0.314,0.514,0.171,-0.143,UPPER HALF BLOCK,Block Elements,b'\\u2580'
😶,0.869,0.425,0.292,0.283,-0.142,FACE WITHOUT MOUTH,Emoticons,b'\\U0001f636'
😨,0.814,0.434,0.272,0.294,-0.140,FEARFUL FACE,Emoticons,b'\\U0001f628'
╬,0.322,0.318,0.500,0.182,-0.136,BOX DRAWINGS DOUBLE VERTICAL AND HORIZONTAL,Box Drawing,b'\\u256c'
👂,0.682,0.364,0.409,0.227,-0.136,EAR,Miscellaneous Symbols and Pictographs,b'\\U0001f442'
▐,0.304,0.217,0.696,0.087,-0.130,RIGHT HALF BLOCK,Block Elements,b'\\u2590'
🅾,0.977,0.375,0.375,0.250,-0.125,NEGATIVE SQUARED LATIN CAPITAL LETTER O,Enclosed Alphanumeric Supplement,b'\\U0001f17e'
┐,0.771,0.375,0.375,0.250,-0.125,BOX DRAWINGS LIGHT DOWN AND LEFT,Box Drawing,b'\\u2510'
📯,0.974,0.250,0.625,0.125,-0.125,POSTAL HORN,Miscellaneous Symbols and Pictographs,b'\\U0001f4ef'
💔,0.836,0.414,0.293,0.293,-0.121,BROKEN HEART,Miscellaneous Symbols and Pictographs,b'\\U0001f494'
🍮,0.701,0.440,0.240,0.320,-0.120,CUSTARD,Miscellaneous Symbols and Pictographs,b'\\U0001f36e'
➔,0.541,0.160,0.800,0.040,-0.120,HEAVY WIDE-HEADED RIGHTWARDS ARROW,Dingbats,b'\\u2794'
😞,0.825,0.479,0.161,0.361,-0.118,DISAPPOINTED FACE,Emoticons,b'\\U0001f61e'
💩,0.840,0.409,0.297,0.293,-0.116,PILE OF POO,Miscellaneous Symbols and Pictographs,b'\\U0001f4a9'
🍢,0.684,0.333,0.444,0.222,-0.111,ODEN,Miscellaneous Symbols and Pictographs,b'\\U0001f362'
🔨,0.739,0.368,0.368,0.263,-0.105,HAMMER,Miscellaneous Symbols and Pictographs,b'\\U0001f528'
♎,0.855,0.300,0.500,0.200,-0.100,LIBRA,Miscellaneous Symbols,b'\\u264e'
🏇,0.829,0.400,0.300,0.300,-0.100,HORSE RACING,Miscellaneous Symbols and Pictographs,b'\\U0001f3c7'
Ⓐ,0.467,0.300,0.500,0.200,-0.100,CIRCLED LATIN CAPITAL LETTER A,Enclosed Alphanumerics,b'\\u24b6'
😭,0.803,0.436,0.220,0.343,-0.093,LOUDLY CRYING FACE,Emoticons,b'\\U0001f62d'
🔌,0.844,0.364,0.364,0.273,-0.091,ELECTRIC PLUG,Miscellaneous Symbols and Pictographs,b'\\U0001f50c'
➰,0.255,0.455,0.182,0.364,-0.091,CURLY LOOP,Dingbats,b'\\u27b0'
🚖,0.800,0.333,0.417,0.250,-0.083,ONCOMING TAXI,Transport and Map Symbols,b'\\U0001f696'
😴,0.850,0.422,0.237,0.341,-0.080,SLEEPING FACE,Emoticons,b'\\U0001f634'
🐸,0.846,0.333,0.413,0.253,-0.080,FROG FACE,Miscellaneous Symbols and Pictographs,b'\\U0001f438'
😓,0.845,0.431,0.217,0.351,-0.080,FACE WITH COLD SWEAT,Emoticons,b'\\U0001f613'
😪,0.858,0.431,0.219,0.351,-0.080,SLEEPY FACE,Emoticons,b'\\U0001f62a'
🚚,0.479,0.231,0.615,0.154,-0.077,DELIVERY TRUCK,Transport and Map Symbols,b'\\U0001f69a'
▄,0.464,0.321,0.429,0.250,-0.071,LOWER HALF BLOCK,Block Elements,b'\\u2584'
😲,0.854,0.386,0.295,0.318,-0.068,ASTONISHED FACE,Emoticons,b'\\U0001f632'
⚠,0.489,0.187,0.692,0.121,-0.066,WARNING SIGN,Miscellaneous Symbols,b'\\u26a0'
😧,0.775,0.389,0.284,0.326,-0.063,ANGUISHED FACE,Emoticons,b'\\U0001f627'
╰,0.510,0.160,0.740,0.100,-0.060,BOX DRAWINGS LIGHT ARC UP AND RIGHT,Box Drawing,b'\\u2570'
👬,0.622,0.353,0.353,0.294,-0.059,TWO MEN HOLDING HANDS,Miscellaneous Symbols and Pictographs,b'\\U0001f46c'
◟,0.647,0.167,0.722,0.111,-0.056,LOWER LEFT QUADRANT CIRCULAR ARC,Geometric Shapes,b'\\u25df'
🐲,0.458,0.158,0.737,0.105,-0.053,DRAGON FACE,Miscellaneous Symbols and Pictographs,b'\\U0001f432'
🙎,0.641,0.450,0.150,0.400,-0.050,PERSON WITH POUTING FACE,Emoticons,b'\\U0001f64e'
🍡,0.700,0.286,0.476,0.238,-0.048,DANGO,Miscellaneous Symbols and Pictographs,b'\\U0001f361'
░,0.439,0.234,0.577,0.189,-0.045,LIGHT SHADE,Block Elements,b'\\u2591'
🔞,0.814,0.269,0.500,0.231,-0.038,NO ONE UNDER EIGHTEEN SYMBOL,Miscellaneous Symbols and Pictographs,b'\\U0001f51e'
⚾,0.214,0.370,0.296,0.333,-0.037,BASEBALL,Miscellaneous Symbols,b'\\u26be'
☠,0.749,0.267,0.500,0.233,-0.033,SKULL AND CROSSBONES,Miscellaneous Symbols,b'\\u2620'
█,0.634,0.090,0.853,0.057,-0.032,FULL BLOCK,Block Elements,b'\\u2588'
▒,0.501,0.091,0.848,0.061,-0.030,MEDIUM SHADE,Block Elements,b'\\u2592'
👐,0.876,0.395,0.233,0.372,-0.023,OPEN HANDS SIGN,Miscellaneous Symbols and Pictographs,b'\\U0001f450'
😰,0.920,0.436,0.148,0.416,-0.020,FACE WITH OPEN MOUTH AND COLD SWEAT,Emoticons,b'\\U0001f630'
👪,0.653,0.417,0.183,0.400,-0.017,FAMILY,Miscellaneous Symbols and Pictographs,b'\\U0001f46a'
╯,0.507,0.230,0.552,0.218,-0.011,BOX DRAWINGS LIGHT ARC UP AND LEFT,Box Drawing,b'\\u256f'
