emoji,position,negativo,neutro,positivo,score,unicode_name,unicode_block,unicode
🐡,0.867,0.111,0.556,0.333,0.222,BLOWFISH,Miscellaneous Symbols and Pictographs,b'\\U0001f421'
◡,0.947,0.111,0.556,0.333,0.222,LOWER HALF CIRCLE,Geometric Shapes,b'\\u25e1'
👥,0.838,0.222,0.333,0.444,0.222,BUSTS IN SILHOUETTE,Miscellaneous Symbols and Pictographs,b'\\U0001f465'
🅰,0.311,0.222,0.333,0.444,0.222,NEGATIVE SQUARED LATIN CAPITAL LETTER A,Enclosed Alphanumeric Supplement,b'\\U0001f170'
🎪,0.608,0.111,0.556,0.333,0.222,CIRCUS TENT,Miscellaneous Symbols and Pictographs,b'\\U0001f3aa'
◄,0.672,0.037,0.704,0.259,0.222,BLACK LEFT-POINTING POINTER,Geometric Shapes,b'\\u25c4'
🔈,0.635,0.111,0.556,0.333,0.222,SPEAKER,Miscellaneous Symbols and Pictographs,b'\\U0001f508'
📡,0.554,0.222,0.333,0.444,0.222,SATELLITE ANTENNA,Miscellaneous Symbols and Pictographs,b'\\U0001f4e1'
👷,0.739,0.222,0.333,0.444,0.222,CONSTRUCTION WORKER,Miscellaneous Symbols and Pictographs,b'\\U0001f477'
😂,0.805,0.247,0.285,0.468,0.221,FACE WITH TEARS OF JOY,Emoticons,b'\\U0001f602'
💆,0.814,0.263,0.253,0.484,0.221,FACE MASSAGE,Miscellaneous Symbols and Pictographs,b'\\U0001f486'
▸,0.517,0.031,0.719,0.250,0.219,BLACK RIGHT-POINTING SMALL TRIANGLE,Geometric Shapes,b'\\u25b8'
🍨,0.657,0.273,0.242,0.485,0.212,ICE CREAM,Miscellaneous Symbols and Pictographs,b'\\U0001f368'
🐝,0.735,0.158,0.474,0.368,0.211,HONEYBEE,Miscellaneous Symbols and Pictographs,b'\\U0001f41d'
▶,0.498,0.060,0.672,0.269,0.209,BLACK RIGHT-POINTING TRIANGLE,Geometric Shapes,b'\\u25b6'
╠,0.543,0.034,0.724,0.241,0.207,BOX DRAWINGS DOUBLE VERTICAL AND RIGHT,Box Drawing,b'\\u2560'
💭,0.688,0.175,0.444,0.381,0.206,THOUGHT BALLOON,Miscellaneous Symbols and Pictographs,b'\\U0001f4ad'
🐢,0.622,0.175,0.450,0.375,0.200,TURTLE,Miscellaneous Symbols and Pictographs,b'\\U0001f422'
🏨,0.803,0.100,0.600,0.300,0.200,HOTEL,Miscellaneous Symbols and Pictographs,b'\\U0001f3e8'
🆓,0.551,0.067,0.667,0.267,0.200,SQUARED FREE,Enclosed Alphanumeric Supplement,b'\\U0001f193'
🔸,0.172,0.100,0.600,0.300,0.200,SMALL ORANGE DIAMOND,Miscellaneous Symbols and Pictographs,b'\\U0001f538'
☻,0.808,0.200,0.400,0.400,0.200,BLACK SMILING FACE,Miscellaneous Symbols,b'\\u263b'
🐋,0.866,0.200,0.400,0.400,0.200,WHALE,Miscellaneous Symbols and Pictographs,b'\\U0001f40b'
⌚,0.649,0.150,0.500,0.350,0.200,WATCH,Miscellaneous Technical,b'\\u231a'
💺,0.500,0.200,0.400,0.400,0.200,SEAT,Miscellaneous Symbols and Pictographs,b'\\U0001f4ba'
❕,0.862,0.200,0.400,0.400,0.200,WHITE EXCLAMATION MARK ORNAMENT,Dingbats,b'\\u2755'
👒,0.844,0.200,0.400,0.400,0.200,WOMANS HAT,Miscellaneous Symbols and Pictographs,b'\\U0001f452'
╩,0.811,0.040,0.720,0.240,0.200,BOX DRAWINGS DOUBLE UP AND HORIZONTAL,Box Drawing,b'\\u2569'
▪,0.145,0.099,0.605,0.296,0.198,BLACK SMALL SQUARE,Geometric Shapes,b'\\u25aa'
☼,0.461,0.065,0.674,0.261,0.196,WHITE SUN WITH RAYS,Miscellaneous Symbols,b'\\u263c'
😬,0.794,0.267,0.272,0.461,0.194,GRIMACING FACE,Emoticons,b'\\U0001f62c'
🔙,0.144,0.115,0.577,0.308,0.192,BACK WITH LEFTWARDS ARROW ABOVE,Miscellaneous Symbols and Pictographs,b'\\U0001f519'
🌵,0.670,0.269,0.269,0.462,0.192,CACTUS,Miscellaneous Symbols and Pictographs,b'\\U0001f335'
😱,0.773,0.264,0.282,0.454,0.190,FACE SCREAMING IN FEAR,Emoticons,b'\\U0001f631'
🚌,0.636,0.143,0.524,0.333,0.190,BUS,Transport and Map Symbols,b'\\U0001f68c'
🌝,0.718,0.162,0.486,0.351,0.189,FULL MOON WITH FACE,Miscellaneous Symbols and Pictographs,b'\\U0001f31d'
♛,0.490,0.156,0.500,0.344,0.188,BLACK CHESS QUEEN,Miscellaneous Symbols,b'\\u265b'
📓,0.835,0.182,0.455,0.364,0.182,NOTEBOOK,Miscellaneous Symbols and Pictographs,b'\\U0001f4d3'
📕,0.688,0.182,0.455,0.364,0.182,CLOSED BOOK,Miscellaneous Symbols and Pictographs,b'\\U0001f4d5'
🔒,0.939,0.273,0.273,0.455,0.182,LOCK,Miscellaneous Symbols and Pictographs,b'\\U0001f512'
☉,0.986,0.091,0.636,0.273,0.182,SUN,Miscellaneous Symbols,b'\\u2609'
😅,0.828,0.292,0.237,0.471,0.178,SMILING FACE WITH OPEN MOUTH AND COLD SWEAT,Emoticons,b'\\U0001f605'
⚡,0.779,0.044,0.735,0.221,0.177,HIGH VOLTAGE SIGN,Miscellaneous Symbols,b'\\u26a1'
━,0.540,0.094,0.635,0.270,0.176,BOX DRAWINGS HEAVY HORIZONTAL,Box Drawing,b'\\u2501'
●,0.561,0.132,0.559,0.309,0.176,BLACK CIRCLE,Geometric Shapes,b'\\u25cf'
🌁,0.744,0.118,0.588,0.294,0.176,FOGGY,Miscellaneous Symbols and Pictographs,b'\\U0001f301'
🎐,0.291,0.059,0.706,0.235,0.176,WIND CHIME,Miscellaneous Symbols and Pictographs,b'\\U0001f390'
📖,0.710,0.268,0.296,0.437,0.169,OPEN BOOK,Miscellaneous Symbols and Pictographs,b'\\U0001f4d6'
🚺,0.677,0.167,0.500,0.333,0.167,WOMENS SYMBOL,Transport and Map Symbols,b'\\U0001f6ba'
🎨,0.491,0.111,0.611,0.278,0.167,ARTIST PALETTE,Miscellaneous Symbols and Pictographs,b'\\U0001f3a8'
📅,0.597,0.250,0.333,0.417,0.167,CALENDAR,Miscellaneous Symbols and Pictographs,b'\\U0001f4c5'
🔷,0.368,0.083,0.667,0.250,0.167,LARGE BLUE DIAMOND,Miscellaneous Symbols and Pictographs,b'\\U0001f537'
➜,0.559,0.052,0.734,0.214,0.162,HEAVY ROUND-TIPPED RIGHTWARDS ARROW,Dingbats,b'\\u279c'
►,0.516,0.125,0.588,0.287,0.162,BLACK RIGHT-POINTING POINTER,Geometric Shapes,b'\\u25ba'
╭,0.490,0.071,0.696,0.232,0.161,BOX DRAWINGS LIGHT ARC DOWN AND RIGHT,Box Drawing,b'\\u256d'
💸,0.790,0.246,0.348,0.406,0.159,MONEY WITH WINGS,Miscellaneous Symbols and Pictographs,b'\\U0001f4b8'
🍐,0.845,0.316,0.211,0.474,0.158,PEAR,Miscellaneous Symbols and Pictographs,b'\\U0001f350'
🏢,0.542,0.077,0.692,0.231,0.154,OFFICE BUILDING,Miscellaneous Symbols and Pictographs,b'\\U0001f3e2'
🐉,0.628,0.077,0.692,0.231,0.154,DRAGON,Miscellaneous Symbols and Pictographs,b'\\U0001f409'
⛽,0.287,0.061,0.727,0.212,0.152,FUEL PUMP,Miscellaneous Symbols,b'\\u26fd'
🍫,0.793,0.291,0.266,0.443,0.152,CHOCOLATE BAR,Miscellaneous Symbols and Pictographs,b'\\U0001f36b'
🐖,0.814,0.050,0.750,0.200,0.150,PIG,Miscellaneous Symbols and Pictographs,b'\\U0001f416'
💥,0.587,0.072,0.708,0.220,0.148,COLLISION SYMBOL,Miscellaneous Symbols and Pictographs,b'\\U0001f4a5'
➡,0.478,0.013,0.827,0.160,0.147,BLACK RIGHTWARDS ARROW,Dingbats,b'\\u27a1'
║,0.568,0.013,0.829,0.158,0.145,BOX DRAWINGS DOUBLE VERTICAL,Box Drawing,b'\\u2551'
🐂,0.774,0.143,0.571,0.286,0.143,OX,Miscellaneous Symbols and Pictographs,b'\\U0001f402'
🐀,0.701,0.143,0.571,0.286,0.143,RAT,Miscellaneous Symbols and Pictographs,b'\\U0001f400'
😹,0.807,0.299,0.262,0.440,0.141,CAT FACE WITH TEARS OF JOY,Emoticons,b'\\U0001f639'
🙇,0.794,0.291,0.279,0.430,0.140,PERSON BOWING DEEPLY,Emoticons,b'\\U0001f647'
👧,0.649,0.256,0.349,0.395,0.140,GIRL,Miscellaneous Symbols and Pictographs,b'\\U0001f467'
─,0.711,0.020,0.820,0.160,0.140,BOX DRAWINGS LIGHT HORIZONTAL,Box Drawing,b'\\u2500'
🔥,0.616,0.124,0.613,0.263,0.139,FIRE,Miscellaneous Symbols and Pictographs,b'\\U0001f525'
➨,0.558,0.136,0.591,0.273,0.136,HEAVY CONCAVE-POINTED BLACK RIGHTWARDS ARROW,Dingbats,b'\\u27a8'
🔹,0.170,0.200,0.467,0.333,0.133,SMALL BLUE DIAMOND,Miscellaneous Symbols and Pictographs,b'\\U0001f539'
👦,0.606,0.200,0.467,0.333,0.133,BOY,Miscellaneous Symbols and Pictographs,b'\\U0001f466'
🌆,0.765,0.200,0.467,0.333,0.133,CITYSCAPE AT DUSK,Miscellaneous Symbols and Pictographs,b'\\U0001f306'
🐳,0.656,0.217,0.435,0.348,0.130,SPOUTING WHALE,Miscellaneous Symbols and Pictographs,b'\\U0001f433'
🍖,0.679,0.258,0.355,0.387,0.129,MEAT ON BONE,Miscellaneous Symbols and Pictographs,b'\\U0001f356'
╮,0.423,0.109,0.655,0.236,0.127,BOX DRAWINGS LIGHT ARC DOWN AND LEFT,Box Drawing,b'\\u256e'
✋,0.838,0.328,0.218,0.454,0.126,RAISED HAND,Dingbats,b'\\u270b'
🐅,0.819,0.125,0.625,0.250,0.125,TIGER,Miscellaneous Symbols and Pictographs,b'\\U0001f405'
🛀,0.904,0.292,0.292,0.417,0.125,BATH,Transport and Map Symbols,b'\\U0001f6c0'
♮,0.937,0.125,0.625,0.250,0.125,MUSIC NATURAL SIGN,Miscellaneous Symbols,b'\\u266e'
🔩,0.673,0.250,0.375,0.375,0.125,NUT AND BOLT,Miscellaneous Symbols and Pictographs,b'\\U0001f529'
♂,0.580,0.125,0.625,0.250,0.125,MALE SIGN,Miscellaneous Symbols,b'\\u2642'
🍲,0.673,0.250,0.375,0.375,0.125,POT OF FOOD,Miscellaneous Symbols and Pictographs,b'\\U0001f372'
📗,0.789,0.250,0.375,0.375,0.125,GREEN BOOK,Miscellaneous Symbols and Pictographs,b'\\U0001f4d7'
🚁,0.510,0.125,0.625,0.250,0.125,HELICOPTER,Transport and Map Symbols,b'\\U0001f681'
⛪,0.387,0.188,0.500,0.313,0.125,CHURCH,Miscellaneous Symbols,b'\\u26ea'
🌄,0.286,0.125,0.625,0.250,0.125,SUNRISE OVER MOUNTAINS,Miscellaneous Symbols and Pictographs,b'\\U0001f304'
😯,0.859,0.262,0.354,0.385,0.123,HUSHED FACE,Emoticons,b'\\U0001f62f'
😥,0.882,0.317,0.244,0.439,0.122,DISAPPOINTED BUT RELIEVED FACE,Emoticons,b'\\U0001f625'
🐽,0.648,0.240,0.400,0.360,0.120,PIG NOSE,Miscellaneous Symbols and Pictographs,b'\\U0001f43d'
💯,0.872,0.281,0.317,0.402,0.120,HUNDRED POINTS SYMBOL,Miscellaneous Symbols and Pictographs,b'\\U0001f4af'
⇧,0.461,0.059,0.765,0.176,0.118,UPWARDS WHITE ARROW,Arrows,b'\\u21e7'
🍝,0.564,0.283,0.317,0.400,0.117,SPAGHETTI,Miscellaneous Symbols and Pictographs,b'\\U0001f35d'
©,0.740,0.131,0.621,0.248,0.117,COPYRIGHT SIGN,Latin-1 Supplement,b'\\xa9'
☞,0.725,0.016,0.852,0.131,0.115,WHITE RIGHT POINTING INDEX,Miscellaneous Symbols,b'\\u261e'
🏯,0.530,0.111,0.667,0.222,0.111,JAPANESE CASTLE,Miscellaneous Symbols and Pictographs,b'\\U0001f3ef'
📍,0.489,0.222,0.444,0.333,0.111,ROUND PUSHPIN,Miscellaneous Symbols and Pictographs,b'\\U0001f4cd'
⏩,0.732,0.111,0.667,0.222,0.111,BLACK RIGHT-POINTING DOUBLE TRIANGLE,Miscellaneous Technical,b'\\u23e9'
📵,0.794,0.222,0.444,0.333,0.111,NO MOBILE PHONES,Miscellaneous Symbols and Pictographs,b'\\U0001f4f5'
╥,0.869,0.368,0.158,0.474,0.105,BOX DRAWINGS DOWN DOUBLE AND HORIZONTAL SINGLE,Box Drawing,b'\\u2565'
🌀,0.553,0.159,0.580,0.261,0.101,CYCLONE,Miscellaneous Symbols and Pictographs,b'\\U0001f300'
☑,0.690,0.022,0.855,0.123,0.101,BALLOT BOX WITH CHECK,Miscellaneous Symbols,b'\\u2611'
❗,0.620,0.159,0.582,0.259,0.100,HEAVY EXCLAMATION MARK SYMBOL,Dingbats,b'\\u2757'
⌛,0.797,0.300,0.300,0.400,0.100,HOURGLASS,Miscellaneous Technical,b'\\u231b'
👱,0.584,0.200,0.500,0.300,0.100,PERSON WITH BLOND HAIR,Miscellaneous Symbols and Pictographs,b'\\U0001f471'
↪,0.727,0.091,0.727,0.182,0.091,RIGHTWARDS ARROW WITH HOOK,Arrows,b'\\u21aa'
📀,0.843,0.182,0.545,0.273,0.091,DVD,Miscellaneous Symbols and Pictographs,b'\\U0001f4c0'
�,0.113,0.166,0.581,0.253,0.086,REPLACEMENT CHARACTER,Specials,b'\\ufffd'
😵,0.809,0.321,0.274,0.406,0.085,DIZZY FACE,Emoticons,b'\\U0001f635'
▼,0.657,0.250,0.417,0.333,0.083,BLACK DOWN-POINTING TRIANGLE,Geometric Shapes,b'\\u25bc'
🚦,0.454,0.250,0.417,0.333,0.083,VERTICAL TRAFFIC LIGHT,Transport and Map Symbols,b'\\U0001f6a6'
🔓,0.803,0.333,0.250,0.417,0.083,OPEN LOCK,Miscellaneous Symbols and Pictographs,b'\\U0001f513'
🃏,0.686,0.333,0.250,0.417,0.083,PLAYING CARD BLACK JOKER,Playing Cards,b'\\U0001f0cf'
🐊,0.846,0.231,0.462,0.308,0.077,CROCODILE,Miscellaneous Symbols and Pictographs,b'\\U0001f40a'
😟,0.824,0.349,0.229,0.422,0.072,WORRIED FACE,Emoticons,b'\\U0001f61f'
🚍,0.660,0.357,0.214,0.429,0.071,ONCOMING BUS,Transport and Map Symbols,b'\\U0001f68d'
🆘,0.775,0.357,0.214,0.429,0.071,SQUARED SOS,Enclosed Alphanumeric Supplement,b'\\U0001f198'
🚑,0.758,0.286,0.357,0.357,0.071,AMBULANCE,Transport and Map Symbols,b'\\U0001f691'
🐴,0.796,0.209,0.512,0.279,0.070,HORSE FACE,Miscellaneous Symbols and Pictographs,b'\\U0001f434'
🔪,0.764,0.210,0.511,0.280,0.070,HOCHO,Miscellaneous Symbols and Pictographs,b'\\U0001f52a'
❓,0.615,0.182,0.568,0.250,0.068,BLACK QUESTION MARK ORNAMENT,Dingbats,b'\\u2753'
🏪,0.374,0.200,0.533,0.267,0.067,CONVENIENCE STORE,Miscellaneous Symbols and Pictographs,b'\\U0001f3ea'
👩,0.732,0.333,0.267,0.400,0.067,WOMAN,Miscellaneous Symbols and Pictographs,b'\\U0001f469'
🔱,0.791,0.267,0.400,0.333,0.067,TRIDENT EMBLEM,Miscellaneous Symbols and Pictographs,b'\\U0001f531'
🚘,0.650,0.300,0.333,0.367,0.067,ONCOMING AUTOMOBILE,Transport and Map Symbols,b'\\U0001f698'
🍏,0.852,0.267,0.400,0.333,0.067,GREEN APPLE,Miscellaneous Symbols and Pictographs,b'\\U0001f34f'
🚋,0.318,0.067,0.800,0.133,0.067,TRAM CAR,Transport and Map Symbols,b'\\U0001f68b'
☷,0.012,0.019,0.898,0.083,0.064,TRIGRAM FOR EARTH,Miscellaneous Symbols,b'\\u2637'
👀,0.759,0.228,0.482,0.291,0.063,EYES,Miscellaneous Symbols and Pictographs,b'\\U0001f440'
🍗,0.675,0.313,0.313,0.375,0.063,POULTRY LEG,Miscellaneous Symbols and Pictographs,b'\\U0001f357'
✦,0.402,0.063,0.813,0.125,0.063,BLACK FOUR POINTED STAR,Dingbats,b'\\u2726'
